text,label
donasi judi? semuanya kah? katanya media gak akan hilangg coba dong satu satu itungin setiap live yang di donate penjudii yang donate ga semuanya,1
rame lurr,0
tuh yg 58% pemain slot smua 🤭,1
aku aisyah,0
si habiburukman pun main slot..,1
keren kembang api ny,0
wong tuo jeh ngmng ki,0
"kenapa judi online semakin menjamur dan kuat?
Ada intusi yg melindungi.",1
"setuju, munafik... babi haram, yang laen?... yang banyak judi jg siapa... mending di legalkan jd banyak lapangan kerja yang terbuka",1
mau nanya fungsi judi online apa y,1
yantoo sopoo to jane ki,0
bos yg di tangkap bukan pemain bos bandarnnya tangkap kalau penjudina di tangkap penuh penjara bos,1
judi online koruptor pinjol. ilegal maupun legal.. harus tegas juga dong karna disitulah rakyat bnyak yg sengsara dan jadi korban,1
"lan udah legal, buktinya yg kalah judi slot bisa dapet bansos bukan ditangkep🗿🗿🗿",1
"judi itu legal buat org2 kaya
kalo org2 miskin judi itu ilegal",1
"jodoh,maut,maxwin ga ada tau",1
dimn mana judi itu di hindari ini ko malah di suruh NEGARA ANEH,1
nek tiba tiba kepeseng le mundur marai kemrungsung nek nng ngarep dewd,0
kemantren ku gaisss umbulharjo mantabbbbbb,0
byk spam,0
"nah ini baru bagus, dari pada usulan judi dapet bansos😭🗿",1
trus cara dapat bansos korban judi online gimana??,1
"plis bantu gua buat berenti candunya judi bang,duit lebaran semuanya ludes",1
slot haram slot haram,0
gatotkaca sky piercer,0
aku bangga dengan jogyaku,0
Aslina urang mah tara maen judi 🗿,1
sugeng ambal warso jogja ke 268 semoga tambah maju,0
nek ngegrab tekan bengi aku seng wedi wkwwk,0
mantrijeron ok,0
freebet 100rb wisdomtoto,0
asem to yanto,0
waduh klw di tanggkapin dewa judi..papol panen duit🤣🤣,1
selamat ulang tahun yogya,0
Jadi bandar judi = imajiner?,1
dada ayang,0
bandung hadir kopo,0
admin admin slot orang Indonesia yang bekerja di Kamboja tangkap pak mereka terlalu meresahkan,1
"gk narkoba gk judi yg aman bandar""nya🗿",1
judi online itu secara sadar melakukan pak bukan karena mabok terus tiba2 pasang nomor 😂,1
Lha kolo pada gila judi online rakyat kecil tambah miskin,1
penjudi itu bukan korban tapi dia dengan sadar pilihan sendiri,1
sugeng ambal warso jogja ke268,0
wes tau offline uyel2an,0
mau pulang nggk bisa ini woy,0
"Judi online dilarang tapi negara kerja sama dengan pencipta judi online,ngutang sama negara yang pendapatan pajak besar dari judi online",1
dipikir bener2 jg daripada ngumpet2 judi online,1
"sedih bet bg,apalagi gw dari maen 2017 cuma hoki gede 1x 16spin aspirant dapet 1colek 3epiggg",1
kalau polisi main judi online yang nangkap siapa?,1
met ultah jogja smg slalu istimewa liburan ke jogja pakai citytour percayakan pada nk tour jogjakarta murah nyaman liat gmap,0
wd 271T 🗿🗿🗿,1
facebluesmilingfacebluesmilingfacebluesmilingeyespinkheartshapeeyespinkheartshapeeyespinkheartshape,0
mengganggu soalnya,0
rapopo 10rb setahun pisan we kok,0
tek jam piro pak,0
istimewa jogjaku,0
"SIBUK NGURUS STREAMER DI DONATE JUDOL, SEMENTARA PEMERINTAH AJA GAK NGEBLOKIR SITUSNYA 🗿🗿🗿 KOAR"" DOANG ATAU GIMANA NIH YG MAU BERANTAS JUDI",1
woiya parkiran cairrrr,0
makin kacau negara ini .masa org judi online di subsidi 😝😝😝,1
arep menyang kok aras arasen,0
kemarin liburan ke jogja mau ke penginapan parangtritis takut ada klitih padahal pake mobil,0
sekalian aja ilegal kan judi online biar pada tau bandar nya siapa 😂,1
Pd main judi onlen smua mangkanya dibuat,1
dan jatuhnya mirip sama us legal kan judi dan akhirnya di ambil alih pemerintah dan hasil judi juga untuk mengembangkan negara mereka,1
wes ning tengah iku,0
operator dron terlalu cepat mind,0
pakek sabu salah main slot salah hduh,1
nderek mangayubagyo dinten dumadining kutho ngayogyakarto hadiningrat,0
"setuju, jangan jd negara MUNAFIK. klu disurvei 8 dari 10 rakyat indonesia pasti main judi.",1
betuk kak edelwiss mau meninggoi kepanasan di lokasi,0
spam banget slot,0
"jadi gini pemikiran pemain slot termasuk gua, sebenernya kita candu main nya bukan kemenangan nya. kita main kalo saldo awet mah puas biar pun gak win",1
sound tv kak kok gak ada,0
sopo seng ngelak po butoh kipas,0
hhhh yg boleh judi di pastikan orang dalam . 😁,1
"ide bagus,,, dripda bansos di gelontrkn untk penjudi",1
"gini aja kan, apakah uang nya merugi kan?, kan yang di masalahin soal mempromosikan judi nya kok ke uang nya sekarang ya.",1
aku mohon kepada pemerintah tolot tutup judi online,1
judi darat jangan lupa,1
selamat ulang tahun jogja ku jogja memang istimewa,0
bali gek pangan dewe mas,0
bang masih lama gak,0
dikantor sndri polisi juga bnyak bermain judi online,1
"saya korban slot, tapi saya ga mau bansos, tutup situs slot,togel,dan sejenisnya titik.",1
"judi online kan sdh mulai d dukung dgn d kasih bansos, mantab tuh uangnya buat IKN",1
"kok bisa ya santai dengan uang judi,, emang ga mikir panjang kah kalo nanti bakal kejerat masalah, apalagi publik figur, untuk bu saidah sering ² tany",1
bu tumini hbd dari jogja,0
halo koyo telpon,0
bekingan ga bisa dapat bonus nanti kalau nangkap semua bandar judol🤣🤣,1
"tau gitu gw beliin emot daripada spin recall2
mana dapet trial recal2 cuma 2minggu😭",1
nangkep nya yg orang judi lah kocak masa yg di donate doang gajelas,1
aku bakol,0
"tak usahlah berkoar koar akan berantas judi online, masyarakat juga sudah paham permainan itu.",1
jogja love you,0
emang judi ilegal? kan aparat juga main🗿,1
buset banyak komenan slot,0
keren pol,0
nonton di tempo gelato sama aja full,0
dengan bio7 selamat tinggal penyakit selamat tinggal ungkris2sen  jogja istimiwir,0
nambah modal lagi untuk judi,1
😭😭😭ya Allah ....aq mati2an le berusaha bojo ora entuk ngslot kk malah arep entuk banson tak kon kerjo sing sregep ben iso koyo koncone mlah😩😩😩,1
cantikkk sekalii,0
mobil abubakar ali montor utara tugu jogja,0
"udah laa rungkad gegara slot ditangkap pulak, 10 thn lagi,oalaah lengkap lengkap🤣",1
Kenapa tida lngsng proses saja org2 situ judi itu ???,1
mudah2an taun depan bisa nonton langsung,0
"laki gue, feb kmrn w ngamuk parah gua kerja buat bantuin ekonomi dia. eh si kampret itu malah main judi gaji abis gtau buat apa, ongkos make gaji gue jg. udh mau cere tp gjdi ktny udh tobat. tp gtw jg",1
Mari kita bersama dukung Satgas anti judi online,1
Hp HP nya musnahkan semua untuk mengurangi perjudian onlain 😡😡😡😡,1
sayang kl judi d tutup omset pak😆,1
ayo ooooooooo9oooo,0
drone ngerekam opo ta bikin pusing malahan,0
polisi tetangga gw jga pada main slot pak wkwkwk,1
judol berisik caper,0
dah nunggu nih,0
slot gacor,0
"depo 10rbu,WD 3jt 🤣 mana saldo sisa beli nasi Padang 🤣",1
"cuma bingung sih, promo judol hanya karena blg gacor depo dll? kecuali dia nunjukin kalo dia lg streaming sambil main aplikasi itu judol",1
mantap bou,0
too yantoo metuo,0
selamat ulang tahun jogjaku tercinta terimakasih sudah menjadi kota penuh kenangan,0
"Halah udhlah, intinya cari panggung, cari cuan, cari follower, cari nama, cari perhatian. sampe kapan nih drama, kalo kelamaan ntar jadi personal",1
darmo sanjaya kita mulai akur ya,0
"judi,minuman,narkoba serta korupsi yg diberantas cuma daun d pohonnya,,terkecuali kalau akarnya di cabut atau di bakar tamat sudah😅😅😅lucu para penegak hukum negri ini🙏🙏🙏",1
nyocot,0
"sbnrnya gk ada peduli jg uangnya mau dikemanain sama pihak berwajib, yg pasti miskinkan streamer sombong pengiklan judi online yg bkin rusak bocil2 🗿",1
W depo 1 juta WD 58 juta,1
jogja jadi tempat yang mempertemukan kita,0
selama server nya ga di tutup ya bakal ttp ada trs judi,1
kenapa hrs ada judi online.. udh mah susah malah dibikin susah😳,1
judi membuat lupa sgalanya,1
"judi online gbkal d hapus, d karenakan oknum juga ada sangkut paut nya",1
sugeng ambal warsa kota jogja ku bungjack,0
jogja pancen istimewa sugeng ambal warsa jogjaku,0
"di dalam judi online ga ada yg namanya hoki, ada nya cuma lagi di kasih aja😅",1
itu duit sendiri kami pake main judi bukan duit negara,1
sek do nonton wong ndi wae iki,0
yg di pelihara it pakir miskin....in malah yg tkuang judi yg di pelihara,1
fulll g bisa jln k arah tugu,0
musnah kan judi online,1
"emang lucu kinerja polisi skrg,cuma blokir semua ko situs judi online di google,pasti pasti tdk ada LG yg judi online, kenapa harus di tutup2pi kinerja nya pa, polisi, logika nya seperti itu",1
perintah jendral ndak digabres anggota. kedaerahku ngawi kec.gerih togel diwarung warung banyak jendral,1
nek nggon ngiseng ning sbelah ndi ya,0
kotagede,0
Togel Brantas juga,1
mntap kan indo 😂😂tuk para pelaku judi onlen klian jngan resah jngan takut klh ok hidup klian di jamin tetap bisa makan karna dapat bansos 🤣🤣dasar,1
gw dpet 5 kli spin abang🥰🥰,1
yg di lokasi pooolll rame ne,0
"Biar gk main judi online anggota bapak
situsnya suruh di blokir aja sama kominfo pak
selesai",1
nontom sekoxomab,0
udah mulai lom to wayang e,0
yg sistem deposit jga d usut pak,1
"gua aja ga pernah dapet
malah yang judi mau dikasih",1
kan d berita katanya gara2 judi online anaknya,1
"q suka slot tp sering menang, istriku jadi suka,,, piye ngunuiku",1
"ngapa tdk situs judi online nya yg di tutup,apa memang sengaja di pelihara",1
sama aja dukung judi 😳 heran kebjjakannya di kasih bansos nanti jadi modal judi,1
hahahaaa emng bisa di kontrol anak buahnya yg main judi online,1
commentar sub only min,0
masyarakat yang depo negara yang WD😂,1
"@sahabatsatpollhokseumawe satpol pat neu jak bak syehkupi mns masjid sep lee awak maen slot nyan termasuk kawan"" lon sit pak neu drop keudeh 🗿",1
kenapa gak langsung tangkap bandar slotnya aja afakah suntikanya banyak rutin jadi sayang ?,1
"kira² kenapa ya org bisa kecanduan judi, padahal kalo diitung² modal sama hasil jauh gede an modal nya malah rugi kan, suka heran sama temen yg sering depo",1
info parkiran yang masih longgar,0
"Yg kamu tangkap yg keroco keroco bos
para pentolan judi gak lo tangkap
🤣🤣",1
judi kok malah dibantu. piye toooh,1
banyak spam slot,0
pemain judi ditangkap..bandar bebas.. peminum alkohol ditangkap..pabrik miras bebas🤪,1
heran sekali kalian yang main top up terus pihak judi online donate terus para streamer yang kena bilang ini lah itu lah sama aja kalian playingvictim,1
Dibalikin uangnya sama sama dimakanin tuh duit judi gaada bedanya😂,1
Eriko lim jelas2 main judi gak da tuh ketangkep🤣..agak lain,1
atau istirahat mungkin,0
mpun mawon pak pidatone,0
judi ki mek gawe rungkad reti ra,0
nganggo pempes wae go jogo nek menowo kepoyoh po kepeseng,0
"judi online Rafi Ahmad kok ngak di tangkap, terang terangan dia bilang di YouTube Facebook tik tok, pakai scater hitam pulak tu, itu la kau tangkap,",1
oki pleret hadir  selamat ulta kota jogja pancen istimewa  seni dan budayanya emang kota jogja kaya karya seni budaya saya ikut bangga karna anak ku juga di bidang seni,0
"balik modal gue bro,ketarik 1 juta dpt wd 1juta500,pdhl main kcil2lan",1
"perasaan yg promoin sambil live bejibun di fb & yt bahkan beli akun gede buat live slot, kenapa di gorengnya skrng",1
kalau minta bantuan ke kbri atau bp2mi dan mereka tau kerja judi online nanti dipenjara ngak...,1
sebenernya negara serius gak sih untuk berantas judi online ? apa yang membuat judi online susah utk di berantas di indonesia ?,1
judi terancam penjara 10 tahun. korupsi terancam penjara ... tahun? remisi berapa tahun?,1
FAKTA JIKA ANDA ADA AKALWARAS JIKA PENGUASA REZIM INI ORANG JAHAT JUGA JIKA PENJUDI DIKASIH BANSOSN JADI KERJASAMA SESAMA PENJAHAT NASIONAL,1
saya benci judi online,1
itu akun2 yang promo judi online diblokir saja min,0
GW yang tiap hari deposit 😭😭,1
yg nama y judi akan membawa kesengsaraan klo rakyat y hidup sengsara negara ini akan hancur lebur,1
"terus kalau diluar negeri legal,, kenapa negaranya maju.. kriminal juga gak ada,,, berjudi itu bukan kejahatan tpi hiburan..",1
"ooohhh gt ya,,,judi,,,bukannya sdh d tutup,,,,",1
live tiktok ada gak,0
lah malah buat nambah Modal buat judi online 😀😀,1
"rezim koplak,,, penjudi di pelihara",1
akun judol ra urus,0
"kl polisi ladusing yg jd bekingan bandar narkoba dan judi siapa yg nangkap
berani gak nangkap kl itu jenderalmu",1
"Ah. . . trlibat judi gk boleh
tp kalau trlibat NARKOBY boleh donk",1
kui seng komen iklan slot cen biangan e,0
ini blm mulai kah,0
usut situs judi online!,1
polisi aja banyak yg main slot,1
woy togel ijeh buka loh TPI meneng ae pak pak😂😅,1
kalau diresmikan judi.ormas2 dan oknum polisi TDK ada alasan meras,1
jogja emang top markotop,0
🤣🤣 admin admin slot masih berkeliaran,1
pak yg ditangkap itu bandar dn bekingnya bukan pemain judinya.sampai kiamat TDK akan setop.,1
Jadi curigaa PartaiSocmed adalah orang yang kalah judii terus dan abis banyak wkwk🤣,1
sugeng ambal warsa jogja ku btw ultah kita sama jogja,0
10rb parkire motor,0
pas buka tiktok..pas abis WD,1
Nahh dulu juga waktu itu Jakarta di bangun gara” judi online😂,1
iku sing judol ki ketoke bot dadi yo ngono,0
happy aniveseri,0
"di ASEAN, Indonesia nomor 1 pemain judi online",1
"😁😁😁 pengen ketawa lucu bapak ya judi on lime udah lama ada, skr baru gerak, untuk nutupin 497 T",1
"setenang ini kah ya allah gak main judi😁dompet makin siap, makan makin enak, tidur pun nyenyak😂",1
kata agama judi haram. koq gak ada statmen dari menteri agama????,1
"agar penjara gak penuh tangkap bandar nya🤦
kalau yg ditahan pemain judinya lapangan gbk juga gak muat🤣🤣🤣",1
"info kasatreskrim di batam habis bongkar kasus judi online di mutasi,,polisi jujur di singkir kan",1
biar berjudi asal jangan selingkuh lagi sibunda ada kerja,1
Bu Yg Judi jgn di Bantu Mendingan di Penjarakan Biar kapok,1
heh meneng iso ra,0
"pemerintah kan dukung judi, yuk lanjutkan 👍👍👍👍 😆",1
Semua karna Cuan 🤭😁,1
perjudian dan narkoboy pak😔,1
lah🤣🤣🤣.... main judi pake duit sendiri d hukum penjara 10 tahun... korupsi triliunan cuma 2 tahun😅.. itupun sel.y full fasilitas,1
biasanya sampai jam 10 mlm lho,0
masih gacor kok pak🙈,1
patricia di kalasan hadir,0
bank aja afilasi ama judi online... buktinya depo bisa lwat bank😂..yg d tangkap tu bandarybos,1
"😂😂😂 di Jayapura saja banyak TOGEL terang² an..tapi aman² saja😂😂.
SCTV kok nggak ngeliput ??😂😂",1
yg jd beking judi aman itu petanii😂😂😂aparat gk jd beking krn gajinya dag banyak😂😂😂,1
Wd nya diem diem aja🤣,1
Gimana pula polisi nangkap bosnya sendiri(Bos judi Online)?,1
wah mantap banget tuh,0
nah kayaknya UKT .tapera.gagal .mau merayu peserta judi onlain tuh,1
"kagak ad yg heran gitu
gimana pemerintah tau yg mna penjudi???",1
y andai di Indonesia gak sulit kerjaan pasti orang orang pda gak main slot jg kerja gajinya UMR pasti GK pda main,1
inilah hebatnya Bu Risma yg akan jadi calon gubernur Jatim....pasti suka bget org Jatim ...jadi yg kalah judi slot masih punya harapan...kekalahan judi slot dpt ganti BANSOS,1
sugeng ambalwarso jogjaku tetap istimewa dihati,0
menyala pejudi online 🔥🔥yg kerja akan d potong gaji nya yg judi d kasih bantuan...mau heran tàpi udah keburu males duluan 😩😩,1
"negri lawak. mana ada korban judi online, korban tu pencopetan, korban kecelakaan dll... 🤧🤧🤧",1
cepet pak kene pen delok lek,0
"Alhamdulillah kmren masih di ksih maxwin.
jadi terserah lah 🤣😅",1
"dulu Ali Sadikin mbangun jakarta aja dgn duit ky gitu di pakai,,skrg ulama bnyk munafik,,omzet judi triliunan,,",1
menyala jogja kuuh,0
takon dab,0
bnyk yg sudah di mutasi gara2 judi online yg di lakukan oknum polisi..wilayah sumedang,1
ucap pemuda tidak pernah WD,1
itu masih berupa link/website belum lagi judi offline ( tanpa gadget ) 🗿,1
"emang admin punya bukti ya?
kalau uang untuk judi online.
kan bisa saja dia kasi ortunya atau sodaranya.
kan kasian almarhum kalau ga benar",1
admin e icj kui yanto,0
kae pengen tuku sosis ning memeng antri,0
padahal rumah deket tugu tp mau nonton males bgt,0
"mmg hukuman buat aparat lebih keras krn mereka yg jdi contoh masyarakat,klo polisi ny aja main judi gmn masyarakat ny😁",1
sek iklan slott blokir ae minn,0
udh 3x panggilan,0
hutt jogja yang ke 268,0
yoo tak tumbas es mu serlok,0
ya karna PEJABAT INDONESIA main JUDI ONLINE makanya begitu🤣,1
judi online msh tetap za ada walau di blokir juga.,1
Mohon maaf knp org ga punya duit malah hobi judi ya? Udah tau duitnya ga ada masih aja,1
selamat ulang tahun kota jogja,0
wilujeng ambalwarso engkang,0
shotingane pie ki,0
jogja pancen istimewa,0
gak bisa nafas cok,0
"namanya jga lgi krja....
gk mungkin di bilang buat anggota polri silahkan main judi.....
😁😁😁",1
"website judi nya yg di tutup,klo benar2 membasmi jgn yg kalangan kecil,tpi sumber atau akar nya,yaitu bandar nya.",1
klo judi kan pake uang sendiri. yg 2700t apa kabar🤭,1
TherSeDaP.BesTi🎉.@RMASLOT.,1
slamat ulang tahun kota yogja karta,0
love jogja kuuu,0
facebluecoveringeyes,0
jogjaku,0
Sini biar kukasih tau warkop tempat polisi main slot,1
berasa di tempat hhhhh,0
bener iki.90%rakyat Indonesia kan penjudi,1
"kyknya keadaan umkm terpuruk bukan krn org nahan cumsumer,tapi krn judi online dan pinjol",1
banyak loh oknum main Slot😂😂😂 kok gak ke tangkap,1
TheBaGuss...Phanutan💞_@RMASLOT,1
"yg penting gak di larang negara boleh
tapi judi itu di larang agama buk kok di belain jadi pejabat kok mangkin ngawur",1
"Pulici sepuh : Shhtt!! diem, lu anak baru jangan sok²an. Btw sekarang link mana yg lagi gacor (nanya ke pulici sepuh satu tongkrongan).",1
info link gacor,0
jetis ke 7,0
Sama dengan menyuruh masyarakat berjudi semua.,1
Selain Fir'aun orang yang gila slot orang paling keras kepala,1
kalo narkoba di hentikan judi online juga berhenti,1
di legalkan saja.toh semua negara maju.melegalkan judi.,1
kotagede hadir,0
beri makan pakai uang judi kok bangga,0
paket tah kok wjne,0
sama om aja dek sini pipietpersonturqouisewavingfacebluesmiling,0
apakah itu bisa di namakan aset negara kah? kalo deposit judol itu,1
ya allah semoga judi online dan pinjaman online ditutup ya allah aku juga hampir cerai,1
"di YouTube padahal banyak loh yg jelas2 judi, malah live lagi",1
komene banter,0
nitip sendal,0
ndang pak,0
"kenapa yang di cari cuman yang di donate? kenapa ga cari yang donate ke sreamer sekalian, sekalian aja cari bos bos yang buat situs judi online",1
tak jelas knp harus penjudi link nya saja 😩berrtaburan apakah sekecil itu hukum di indonesia,1
isih ono tempat ora lur,0
ditabung buat judi 😂😂,1
pengen ndono tapi macet puolll,0
"wkkwkwkwkkwk duit ny serahkan ke pihak berwajib??😱😂 ,ada² saja ujung² ny bagi² ke pejabat dll,makan uang judi jg AWOKAOWKWOWKOK🤡🙏",1
halo pak uno,0
"ari petani nu harese meuli pupuk di antep,,ari nu judi ruksak ku dewekna rek di bere blt",1
betul drpd judi online dpergunakan org penting. kita legal kan. buat bantu rakyat,1
waalaikumussalam,0
itu yg iklan judol otaknya ada nggak,0
pilot drone dari awal sampe akhir cuma muter2,0
muhajir mungkin pejudi sejati.. 🤣🤣,1
"bener, anjir ada anak2 komplek nebeng sama abang2 nya, kalau wd di potong 30% , malah ada bandar darat yang langsung jual buyspin",1
tegalrejo,0
iki mah akeh gojek,0
kaya ini pemerintah memeng kendali penjudian oline ini cuma pendapat sya,1
kenapa engga cek sklian data anggota DPR atau pejabat tinggi di Indonesia siapa tau mereka juga ada yang pemakai judi online??,1
knapa negara2 yang punya casino malah indeks judol nya di bawah indonesia ya?,1
woy ra judi,0
"klo polisi maen judi bukan di penjara.
malah di b4k4r sama istrinya🤣🤣🤣",1
Yg ditakuti bukan main judinya yg ditakuti jadi super heronya bandar2 judi 🙈 bersihkan org dlm dulu baru bandar2 dan pemainnya💯,1
klu laki udh kecanduan judi mending campakkan Krn g akn berubah sampe kapan pun.udh jadi budak judi,1
"Makanya Bettingan Naik Dr 200 jadi 800 Jadi Tujuannya Untuk itu, ok Aku Lanjut Slot 🤭",1
"bandar judi polisi di bereskan, masak itu aja gk bisa, puya otak polisi untuk mikir🤣🤣🤣",1
gacor kang😁,1
"judi online...😅
scemer🤣
11 12 lh tu . hbis kn duit juga",1
"Lah ngapa jadi uang dibalikin kocak banget, uang dibalikin juga ntar diputerin lagi ama negara buat main slot di kantor dpr",1
kudu ne fuul basa jawa,0
met ultah jogja istimewa,0
bansos nya dipake judi lg...biar judi online semakin subur di negri konoha...nti yg mau minta bansos...main judi dl y😆😆😆,1
rasya regita,0
bu polwan berati wdh benner,1
wo raiso lungguh ki seng ngarep,0
kak yantooo,0
kalau trader forex itu kena hukum apa nggak itu sama judi kan,1
"apa kabar polres balerang
yg dimutasi setelah bgkr dan tangkap judi online 😅😅😅",1
biar judinya tr arah.,1
